emotion,cleaned_text
joy,feeling dont even think god perfect act righteous would
anger,feel irritated times tried hold stuff ill push away throw temper shout
joy,feel intellectually superior
love,havent written awhile havent feeling hot
joy,im feeling bit smug im actually looking forward using exercise bike left kantara
sad,feel like post unsuccessful ivf cycle often feels like cleaning war
sad,feel bad updating page
love,feel like soul longing mongolia
joy,think right family feel comfortable anymore
joy,feel deserve respected way
sad,feel im going hated people
joy,would love run region feel could successful time running short quite sure even would successful
joy,remember feeling somewhat calm surprised
joy,shut book exit cinema smile feeling contented
joy,really mixed feelings syf im glad syfs theres tugging feeling heart really means rgssb journey nearly
joy,say tend feel passionate making world better place
joy,permitted feel little virtuous eating nuts even theyre covered sugar
sad,already feel sleep deprived short time really want become person proud need start investing stop paying minimum amount credit card
sad,im feeling rather perverse snagged icon latest get fuzzy cartoon
suprise,feel nothing lips colours amazing
love,feeling tender late partially breaks heart hear adoptees frozen natural families partially back dangerous job hunting doubts nfamily ones hide shadows like wolves
sad,still coughing generally feeling pretty crappy
anger,want hug drink beer together neither feel tortured time
sad,feeling bit homesick made last minute trip broomfield weekend th nd
joy,wasnt hurt thinking stuff actually feel relieved whenever think
sad,feeling rather melancholy personal tragedy loss love question rocked core issue thought set stone
sad,finally slept properly first time yesterday slept pm still managed wake feeling shitty
sad,feel sad couldnt bring mood
fear,im feeling doubtful pairing reread fall love
joy,took dog libby long walk yesterday much see hear feel love trees wonderful energy came across one heart trunk makes much sense
sad,feel like heart broke telling children continued
sad,refuse feel guilty
suprise,im going share thoughts feelings things wonder things curious questions needed answers
fear,said delicate topic even feel unsure ever posting writing want encourage strongly start questioning
joy,feel though saying something intelligent really morning im really smart
joy,feel eager souls us wanted know next
joy,acknowledged negative feelings nipped bud accepted depending validity life probably would easier
love,feel like gone really caring happens next trying plan every faction life really annoying haha im going write structure big words etc etc
sad,usually feel inadequate worthless
joy,enjoyed sections set offices prudence feels rather superior co workers quiet gossip constant clock watching
sad,feel like im actually doomed
joy,interrailtrip
sad,yet experience gets hard narrow go artists empty feel disheartened
love,feel kind badly going today think hot
joy,feel god calling wills priest rest faithful
sad,feeling rather melancholy evening search google friendships hard
joy,began feeling virtuous said family needs
joy,feel ecstatic played role west end year took arena th anniversary film kind feels surreal three different experiences wonderfully iconic role
fear,remember feeling little distressed hopped bike felt though riding molasses
anger,sleep late lay around entertain year old sometimes hang people often feel extraordinarily irritable generally dont much
sad,im feeling discouraged
fear,cant anything prevent help thats would say feel helpless sad
sad,feel lonely visiting
sad,often get feeling people rather fake friendly
fear,conducted survey quite likely many feel assaulted onel demons creators would felt walls covered eminent figures patriotic heroes epic deeds
joy,could feel moms presence friends family supporting day
love,feel whose name means beloved
joy,feel pretty co host sherry
sad,feel unloved
fear,feel though see nipples etc tshirts much im feeling really paranoid im starting look like little moobs
